Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia	WPS-2
0	0	0	0.00248217763032	0	0.466432099488	0	0	3.34300017551e-05	0.487225560579	0	0	0	0	0	0.000175507509214	0	0	0	0	0.0403834421201	0	0	0.00326778267156	0
1	0	0	0.00204272207307	0	0.52086494689	0	0	1.9454495934e-05	0.462934321622	0	0	0	0	0	8.7545231703e-05	0	0	0	0	0.0135354655461	0	0	0.000515544142251	0
2	0	0	0.00121014174151	0	0.64282394322	0	0	4.60607583276e-05	0.344777338107	0	0	0	0	0	0.00034754935829	0	0	0	0	0.010560475682	0	0	0.000234491133304	0
3	0	0	0.00122410091898	0	0.544929930775	0	0	3.01502689404e-05	0.435164861671	0	0	0	0	0	7.2360645457e-05	0	0	0	0	0.0175715767385	0	0	0.00100701898261	0
4	0	0	0.000382189948404	0	0.626982610357	0	0	3.09883741949e-05	0.360394791887	0	0	0	0	0	0.000449331425827	0	0	0	0	0.0114656984521	0	0	0.000294389554852	0
5	0	0	0.00152570443305	0	0.507770316257	0	0	4.53741095331e-05	0.451529107491	0	0	0	0	0	0.000901810426969	0	0	0	0	0.0369685557421	0	0	0.00125913153954	0
6	0	0	0.00135235230742	0	0.692028416233	0	0	1.68342610881e-05	0.289953312983	0	0	0	0	0	0.00185738014006	0	0	0	0	0.0141295564733	0	0	0.000662147602801	0
7	0	0	0.00111937237948	0	0.613522211339	0	0	1.44746428382e-05	0.371385561061	0	0	0	0	0	0.000168870833112	0	0	0	0	0.0133890446253	0	0	0.000400465118523	0
8	0	0	0.000848946480999	0	0.510110716771	0	0	2.9477308368e-06	0.474905967386	2.9477308368e-06	0	0	0	0	0.000200445696902	0	0	0	0	0.0124895355555	0	0	0.00143849264836	0
9	0	0	0.00100227283081	0	0.632773309171	0	0	1.2654959985e-05	0.345422194775	0	0	0	0	0	5.8212815931e-05	0	0	0	0	0.020242873992	0	0	0.000488481455422	0
10	0	0	0.00385628979351	0	0.421173911361	0	0	1.28972902793e-05	0.548091845903	4.29909675977e-06	0	0	0	0	0.00402395456714	0	0	0	0	0.0205668788987	0	0	0.00226992308915	0
11	0	0	0.0053612064643	0	0.45668332516	0	0	0	0.518750447686	0	0	0	0	0	3.03048669616e-05	0	0	0	0	0.0188909520688	0	0	0.000283763754277	0
12	0	0	0.00453805223784	0	0.498206129719	0	0	0	0.472346767475	0	0	0	0	0	2.93047653735e-05	0	0	0	0	0.0230168000033	0	0	0.00186294579875	0
13	0	0	0.00384982386231	0	0.447992870474	0	0	3.00064213742e-06	0.526192605218	0	0	0	0	0	0.000270057792368	0	0	0	0	0.0202243280062	0	0	0.0014673140052	0
14	0	0	0.00183198031267	0	0.682902914719	0	0	0	0.295861595178	0	0	0	0	0	4.19291268743e-05	0	0	0	0	0.0188552058236	0	0	0.000506374839943	0
15	0	0	0.00718484650555	0	0.488952453884	0	0	0	0.477510754747	0	0	0	0	0	0.000360368476768	0	0	0	0	0.0169373184081	0	0	0.00905425797879	0
16	0	0	0.00407898996439	0	0.536484299126	0	0	0	0.454052012518	0	0	0	0	0	2.15819574836e-05	0	0	0	0	0.00506096902988	0	0	0.00030214740477	0
17	0	0	0.00921237394153	0	0.340804646611	0	0	0	0.624750010638	0	0	0	0	0	2.12756903962e-05	0	0	0	0	0.0224884047488	0	0	0.00272328837071	0
18	0	0	0.00484431057306	0	0.407842986781	0	0	0	0.576520921666	0	0	0	0	0	0.000268595437715	0	0	0	0	0.0096214722867	0	0	0.000901713255185	0
20	0	0	0.0124403445466	0	0.362501455011	0	0	0	0.597900419043	0	0	0	0	0	0	0	0	0	0	0.025200791526	0	0	0.00195698987313	0
21	0	0	0.00296309929143	0	0.602104229932	0	0	0	0.384546486304	6.13478114168e-06	0	0	0	0	0.000631882457594	0	0	0	0	0.00909174565197	0	0	0.00065642158216	0
22	0	0	0.00512361635846	0	0.554457479949	0	0	0	0.418154702724	0	0	0	0	0	0.00139855504739	0	0	0	0	0.0192815006297	0	0	0.00158414529065	0
23	0	0	0.0178851321093	0	0.345947156292	0	0	2.79892521272e-05	0.618142633229	0	0	0	0	0	0.000671742051052	0	0	0	0	0.0157859381997	0	0	0.001539408867	0
24	0	0	0.0039803405787	0	0.494012183303	0	0	3.46116572061e-05	0.486016890489	0	0	0	0	0	0.00353038903503	0	0	0	0	0.0114910701924	0	0	0.000934514744566	0
25	0	0.00506693142525	0.00475880721695	0	0.472148995172	0	0	0	0.488445342189	0	0.00047930432401	0	0	6.84720462871e-05	0.0194460611455	0	0	0	0	0.00599130405012	0	0	0.00359478243007	0
26	0	0	0.00228310502283	0	0.00228310502283	0	0	0	0.0753424657534	0	0	0	0	0	0.920091324201	0	0	0	0	0	0	0	0	0
27	0	0	0.000326600341674	0	0.676916892775	0	0	0	0.310370817003	0	0	0	0	0	0.00135664757311	0	0	0	0	0.00653200683348	0	0	0.00449703547382	0
28	0	0	0	0	0.00136301681054	0	0	0	0.000908677873694	0	0	0	0	0	0.997728305316	0	0	0	0	0	0	0	0	0
30	0	0	0.00116951358118	0	0.508392495347	0	0	0	0.464889884531	0	0	0	0	0	0.018349832809	0	0	0	0	0.00553459948278	0	0	0.00166367424929	0
31	0	0	0.0014415453366	0	0.648983710538	0	0	0	0.319878910192	0	0	0	0	0	0.00305927954768	0	0	0	0	0.0241058414621	0	0	0.00253071292425	0
32	0	0	0.00720812182742	0	0.3310321489	0	0	0	0.61475465313	0	0	0	0	0	0.000338409475465	0	0	0	0	0.0376311336717	0	0	0.00903553299493	0
33	0	0	0.00617877248386	0	0.385898668131	0	0	3.43265137993e-05	0.573664698613	0	0	0	0	0	0.00137306055197	0	0	0	0	0.0278044761774	0	0	0.00504599752849	0
