Timepoint	Euryarchaeota	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	BRC1	Chloroflexi	Cyanobacteria	Firmicutes	Fusobacteria	Gemmatimonadetes	Lentisphaerae	Nitrospirae	Planctomycetes	Proteobacteria	SPAM	Spirochaetes	SR1	Synergistetes	Tenericutes	Thermi	TM7	Verrucomicrobia
40	0.0	0.0	0.0710657575619	0.0	0.30152381824	0.0	0.0	3.66082460074e-05	0.590335423054	9.15206150185e-06	0.0	0.0	0.0	0.0	0.007440626001	0.0	0.0	0.0	0.0	0.0295703107125	0.0	1.83041230037e-05	0.0
41	0.0	0.0	0.156692710569	0.0	0.200858590195	0.0	0.0	8.585901949e-05	0.619593028248	1.7171803898e-05	0.0	0.0	0.0	0.0	0.0125525886494	0.0	0.0	0.0	0.0	0.0101828797115	0.0	1.7171803898e-05	0.0
42	0.0	0.0	0.11339431149	0.0	0.129425031509	0.0	0.0	7.37044598569e-06	0.727757836627	7.37044598569e-06	0.0	0.0	0.0	0.0	0.00885190562881	0.0	0.0	0.0	0.0	0.0205488034081	0.0	0.0	7.37044598569e-06
43	0.0	0.0	0.102461878576	0.0	0.245827108877	0.0	0.0	0.0	0.595304717021	0.0	0.0	0.0	0.0	0.0	0.0058691037245	0.0	0.0	0.0	0.0	0.0505371918027	0.0	0.0	0.0
44	0.0	0.0	0.0964003631412	0.0	0.0513254652747	0.0	0.0	4.53926463913e-06	0.734462097141	4.53926463913e-06	0.0	0.0	0.0	0.0	0.0100453926464	0.0	0.0	0.0	0.0	0.107757603268	0.0	0.0	0.0
44	0.0	0.0	0.066349972352	0.0	0.0194942944755	0.0	0.0	1.50806816468e-05	0.699306288645	4.02151510582e-05	0.0	5.02689388227e-06	0.0	0.0	0.0397928919721	0.0	0.0	0.0	0.0	0.17499622983	0.0	0.0	0.0
45	0.0	0.0	0.045805529456	0.0	0.165215585964	0.0	0.0	5.32343883502e-06	0.715113509025	0.000143732848545	0.0	0.0	0.0	0.0	0.00852548729428	0.0	0.0	0.0	0.0	0.0651908319736	0.0	0.0	0.0
46	0.0	0.0	0.0786032429085	0.0	0.0782405652881	0.0	0.0	4.07502944209e-06	0.784487992926	8.15005888418e-06	0.0	0.0	0.0	0.0	0.00626332025249	0.0	0.0	0.0	0.0	0.052392653537	0.0	0.0	0.0
47	0.0	0.0	0.108491010565	0.0	0.0494270566102	0.0	0.0	0.0	0.691563439126	0.0	0.0	0.0	0.0	0.0	0.00788124382642	0.0	0.0	0.0	3.49036484784e-06	0.142633759507	0.0	0.0	0.0
49	0.0	0.0	0.0902410738051	0.0	0.207260732347	0.0	0.0	0.0	0.677440206852	0.0	0.0	0.0	0.0	0.0	0.00403057150463	0.0	0.0	0.0	0.0	0.0210274154911	0.0	0.0	0.0
50	0.0	0.0	0.114640177187	0.0	0.243959984531	0.0	0.0	1.95311737063e-05	0.622274912989	3.90623474127e-06	0.0	0.0	0.0	0.0	0.00938668208327	0.0	0.0	0.0	0.0	0.00971480580154	0.0	0.0	0.0
51	0.0	0.0	0.105354832748	0.0	0.199824431713	0.0	0.0	4.62021807429e-06	0.678973387544	0.0	0.0	0.0	0.0	0.0	0.00257808168546	0.0	0.0	0.0	0.0	0.0132646460913	0.0	0.0	0.0
52	0.0	0.0	0.106602797132	0.0	0.140721246087	3.15560941129e-06	0.0	3.15560941129e-06	0.715275674038	0.0	0.0	0.0	0.0	0.0	0.0068192719378	0.0	0.0	0.0	0.0	0.0305746995859	0.0	0.0	0.0
53	0.0	0.0	0.0710942997234	0.0	0.0785514573661	0.0	0.0	3.72299432988e-06	0.71013138447	3.72299432988e-06	0.0	0.0	0.0	0.0	0.0327809650746	0.0	0.0	0.0	0.0	0.107434447377	0.0	0.0	0.0
54	1.18501664948e-05	0.0	0.0855819024257	0.0	0.306326803892	0.0	0.0	1.18501664948e-05	0.582086103309	0.0	0.0	0.0	0.0	0.0	0.00894687570361	0.0	0.0	0.0	5.92508324742e-06	0.0170286892531	0.0	0.0	0.0
55	0.0	0.0	0.0804278195178	0.0	0.211479369816	0.0	0.0	2.96027897669e-06	0.67085250114	0.0	0.0	0.0	0.0	0.0	0.00665766741858	0.0	0.0	0.0	2.96027897669e-06	0.0305767215502	0.0	0.0	0.0
56	0.0	0.0	0.105081164946	0.0	0.125675686828	0.0	0.0	2.47579906415e-05	0.710872058957	4.12633177358e-06	0.0	0.0	0.0	0.0	0.00420679524316	0.0	0.0	0.0	0.0	0.0541354097035	0.0	0.0	0.0
57	0.0	0.0	0.0716715685995	0.0	0.115487453138	0.0	0.0	4.55111758382e-05	0.734237488694	2.84444848988e-06	0.0	0.0	0.0	0.0	0.00380587207946	0.0	0.0	0.0	0.0	0.0747492618656	0.0	0.0	0.0
58	0.0	0.0	0.109973484198	0.0	0.27324695122	0.0	0.0	0.0	0.56478390158	0.0	0.0	0.0	0.0	0.0	0.00406861903126	0.0	0.0	0.0	0.0	0.0479243601855	0.0	2.68378564067e-06	0.0
59	0.0	0.0	0.162167058224	0.0	0.108236859237	0.0	0.0	0.000234934473096	0.623799145178	2.83053582043e-06	0.0	0.0	0.0	0.0	0.0541736250672	0.0	0.0	0.0	0.0	0.0513855472841	0.0	0.0	0.0
60	0.0	0.0	0.0973252355871	0.0	0.231786042734	0.0	0.0	2.98589463376e-05	0.619122266414	5.9717892675e-06	0.0	0.0	0.0	0.0	0.021620863043	0.0	0.0	0.0	0.0	0.0301097614867	0.0	0.0	0.0
61	0.0	0.0	0.0684435856634	0.0	0.319149238463	0.0	0.0	9.4718496628e-06	0.590522467227	0.0	0.0	0.0	0.0	0.0	0.00630825187543	0.0	0.0	0.0	0.0	0.0155669849208	0.0	0.0	0.0
63	0.0	0.0	0.0	0.0	0.384615384616	0.0	0.0	0.0	0.615384615384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	0.0	0.0	0.0301042652904	0.0	0.238441926934	0.0	0.0	5.93596870557e-06	0.635000252279	2.96798435279e-06	0.0	0.0	0.0	0.0	0.0184222788777	0.0	0.0	0.0	0.0	0.078022372666	0.0	0.0	0.0
65	0.0	0.0	0.0684572672434	0.0	0.226137111304	0.0	0.0	0.0	0.621790969519	4.30432830957e-05	0.0	0.0	0.0	0.0	0.0102320032959	0.0	0.0	0.0	0.0	0.0733396053546	0.0	0.0	0.0
66	0.0	0.0	0.0806329647444	0.0	0.116024941736	0.0	0.0	6.19824465711e-06	0.722138890266	0.0	0.0	0.0	0.0	0.0	0.00295656270144	0.0	0.0	0.0	0.0	0.0782404423067	0.0	0.0	0.0
67	0.0	0.0	0.0641271399481	0.0	0.279995754927	0.0	0.0	1.32658543542e-05	0.582914906177	0.0	0.0	0.0	0.0	0.0	0.00497469538282	0.0	0.0	0.0	0.0	0.0679742377109	0.0	0.0	0.0
68	0.0	0.0	0.0202378334308	0.0	0.354475870688	0.0	0.0	0.0	0.581206116943	0.0	0.0	0.0	0.0	0.0	0.0124548765508	0.0	0.0	0.0	0.0	0.0316253023874	0.0	0.0	0.0
