Timepoint	Acidobacteria1	Chloracidobacteria	Solibacteres	unknown1226	Actinobacteria1	Bacteroidia	Flavobacteria	Sphingobacteria	4C0d-2	Chloroplast	Nostocophycideae	Bacilli	Clostridia	Fusobacteria1	Gemmatimonadetes1	Nitrospira	Planctomycea	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	0319-6G9	Spirochaetes1	Synergistia	Erysipelotrichi	Mollicutes	TM7-3	Spartobacteria	Verrucomicrobiae	unknown3507
16	0.0	0.0	0.0	0.0	0.00407898996439	0.536484299126	0.0	0.0	0.0	0.0	0.0	0.000129491744901	0.453922520773	0.0	0.0	0.0	0.0	0.0	0.0	1.07909787418e-05	1.07909787418e-05	0.0	0.0	0.0	0.0	0.00273011762166	0.00233085140822	0.0	0.0	0.00030214740477	0.0
17	0.0	0.0	0.0	0.0	0.00921237394153	0.340804646611	0.0	0.0	0.0	0.0	0.0	0.000893578996639	0.623856431641	0.0	0.0	0.0	0.0	1.06378451981e-05	0.0	0.0	0.0	1.06378451981e-05	0.0	0.0	0.0	0.0136589932344	0.00882941151439	0.0	0.0	0.00272328837071	0.0
18	0.0	0.0	0.0	0.0	0.00484431057306	0.407766245227	0.0	7.67415536328e-05	0.0	0.0	0.0	0.000412485850776	0.576108435815	0.0	0.0	0.0	0.0	8.63342478369e-05	0.000105519636245	0.0	0.0	7.67415536328e-05	0.0	0.0	0.0	0.00359726032653	0.00602421196017	0.0	0.0	0.000901713255185	0.0
20	0.0	0.0	0.0	0.0	0.0124403445466	0.362501455011	0.0	0.0	0.0	0.0	0.0	0.0014404609475	0.596459958096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0124476196019	0.0127531719241	0.0	0.0	0.00195698987313	0.0
21	0.0	0.0	0.0	0.0	0.00296309929143	0.602104229932	0.0	0.0	0.0	0.0	0.0	0.000343547743934	0.38420293856	6.13478114168e-06	0.0	0.0	0.0	0.0	3.06739057084e-05	0.0	6.13478114168e-06	0.000595073770744	0.0	0.0	0.0	0.00339253397135	0.00569921168063	0.0	0.0	0.00065642158216	0.0
22	0.0	0.0	0.0	0.0	0.00512361635846	0.554450851726	6.62822297342e-06	0.0	0.0	0.0	0.0	0.000490488500033	0.417664214224	0.0	0.0	0.0	0.0	0.0	0.000874925432491	6.62822297342e-06	0.0	0.000517001391927	0.0	0.0	0.0	0.00562073308146	0.0136607675482	0.0	0.0	0.00158414529065	0.0
23	0.0	0.0	0.0	0.0	0.0178851321093	0.34591916704	2.79892521272e-05	0.0	0.0	2.79892521272e-05	0.0	0.0038065382893	0.61433609494	0.0	0.0	0.0	0.0	0.0	0.0	2.79892521272e-05	0.0	0.000643752798925	0.0	0.0	0.0	0.012987012987	0.00279892521272	0.0	0.0	0.001539408867	0.0
24	0.0	0.0	0.0	0.0	0.0039803405787	0.494012183303	0.0	0.0	0.0	3.46116572061e-05	0.0	0.00186902948913	0.484147861	0.0	0.0	0.0	0.0	0.00152291291707	0.00148830125987	0.0	0.0	0.000519174858092	0.0	0.0	0.0	0.0106950020767	0.000796068115742	0.0	0.0	0.000934514744566	0.0
25	0.00373172652265	0.0	0.00106131671745	0.000273888185148	0.00475880721695	0.472148995172	0.0	0.0	0.0	0.0	0.0	0.00112978876374	0.487315553425	0.0	0.00047930432401	0.0	6.84720462871e-05	0.00530658358725	0.0100996268273	0.0	0.0	0.00403985073094	0.0	0.0	0.0	0.00530658358725	0.000684720462871	0.0	0.00119826081002	0.00239652162005	0.0
26	0.0	0.0	0.0	0.0	0.00228310502283	0.00228310502283	0.0	0.0	0.0	0.0	0.0	0.0707762557078	0.00456621004566	0.0	0.0	0.0	0.0	0.24200913242	0.420091324201	0.0	0.0	0.25799086758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	0.0	0.0	0.0	0.0	0.000326600341674	0.676916892775	0.0	0.0	0.0	0.0	0.0	0.00017586172244	0.310194955281	0.0	0.0	0.0	0.0	0.000401969651291	0.000552708270526	0.0	0.0	0.000401969651291	0.0	0.0	0.0	0.00035172344488	0.0061802833886	0.0	0.0	0.00449703547382	0.0
28	0.0	0.0	0.0	0.0	0.0	0.00136301681054	0.0	0.0	0.0	0.0	0.0	0.0	0.000908677873694	0.0	0.0	0.0	0.0	0.0899591094957	0.700590640618	0.0	0.0	0.207178555202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	0.0	0.0	0.0	0.0	0.00116951358118	0.508392495347	0.0	0.0	0.0	0.0	0.0	0.000181192244972	0.464708692286	0.0	0.0	0.0	0.0	0.00334382052084	0.00714885766525	0.0	0.0	0.00785715462287	0.0	0.0	0.0	0.00309674018679	0.00243785929599	0.0	0.0	0.00166367424929	0.0
31	0.0	0.0	0.0	0.0	0.0014415453366	0.648583281277	0.0	0.000400429260167	0.0	0.0	0.0	0.000128137363254	0.319750772828	0.0	0.0	0.0	0.0	0.000352377748947	0.00161773421107	1.60171704067e-05	0.0	0.00107315041725	0.0	0.0	0.0	0.00148959684782	0.0226162446143	0.0	0.0	0.00253071292425	0.0
32	0.0	0.0	0.0	0.0	0.00720812182742	0.3310321489	0.0	0.0	0.0	0.0	0.0	0.000609137055837	0.614145516074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000338409475465	0.0	0.0	0.0	0.013062605753	0.0245685279188	0.0	0.0	0.00903553299493	0.0
33	0.0	0.0	0.0	0.0	0.00617877248386	0.385898668131	0.0	0.0	0.0	3.43265137993e-05	0.0	0.000514897706989	0.573149800906	0.0	0.0	0.0	0.0	3.43265137993e-05	0.00102979541398	0.0	0.0	0.000308938624193	0.0	0.0	0.0	0.010091995057	0.0177124811205	0.0	0.0	0.00504599752849	0.0
34	0.0	0.0	0.0	0.0	0.00331924111666	0.570874532685	0.0	3.49393801754e-05	0.0	0.0	0.0	0.000279515041403	0.409419656895	0.0	0.0	0.0	0.0	0.000593969462981	0.000174696900877	0.0	0.0	0.0	0.0	0.0	0.0	0.00359875615807	0.00856014814298	0.0	0.0	0.00314454421578	0.0
35	0.0	0.0	0.0	0.0	0.00252533223903	0.637456990436	0.0	0.0	0.0	0.0	0.0	0.000726033018719	0.348622115597	0.0	0.0	0.0	0.0	0.0	0.00028409987689	0.0	0.0	9.46999589634e-05	0.0	0.0	0.0	0.00271473215695	0.00650273051549	0.0	0.0	0.00107326620159	0.0
36	0.0	0.0	0.0	0.0	0.00279745796211	0.49040654362	0.0	0.0	0.0	0.0	0.0	0.000851400249339	0.487943564326	0.0	0.0	0.0	0.0	0.000334478669383	0.000425700124669	0.0	0.0	3.04071517621e-05	0.0	0.0	0.0	0.0060206160489	0.007540973637	0.0	0.0	0.00364885821145	0.0
37	0.0	0.0	0.0	0.0	0.00119766715268	0.716126848573	0.0	0.0	0.0	0.0	0.0	0.000182253697146	0.261742345345	0.0	0.0	0.0	0.0	0.0	0.000390543636742	0.0	0.0	0.000208289939596	0.0	0.0	0.0	0.00122370339513	0.0165850864403	0.0	0.0	0.00234326182046	0.0
38	0.0	0.0	0.0	0.0	0.0018551480358	0.730201308631	0.000576600065181	0.0	0.0	0.000777156609591	0.0	0.000225626112462	0.237584296423	0.0	0.0	0.0	0.0	0.00513926145052	0.0113815838953	0.0	0.0	0.000626739201284	0.0	0.0	0.0	0.000426182656873	0.00952643585951	0.0	0.0	0.00167966105944	0.0
39	0.0	0.0	0.0	0.0	0.00027349695586	0.704861111111	0.0	0.0	0.0	0.0	0.0	0.000130802891933	0.285411910198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56735159817e-05	0.0	0.0	0.0	0.000915620243531	0.00734874429224	0.0	0.0	0.00102264079147	0.0
40	0.0	0.0	0.0	0.0	0.00202022494864	0.689736576286	0.0	0.0	0.0	0.0	0.0	0.000226991567263	0.290390312	0.0	0.0	0.0	0.0	1.13495783632e-05	0.0	0.0	1.13495783632e-05	0.0	0.0	0.0	0.0	0.0018499812732	0.0125980319831	0.0	0.0	0.00315518278496	0.0
41	0.0	0.0	0.0	0.0	0.00396788493134	0.468716740548	0.0	0.0	0.0	0.0	0.0	0.000981638199159	0.511557498166	0.0	0.0	0.0	0.0	0.0	0.00145695774822	0.0	0.0	6.19982020523e-05	0.0	0.0	0.0	0.00737778604421	0.00483585976007	0.0	0.0	0.00104363640121	0.0
42	0.0	0.0	0.0	0.0	0.00781340032729	0.324037153986	0.0	0.0	0.0	0.0	0.0	0.000829741627677	0.633911079356	0.0	0.0	0.0	0.0	0.0	0.00194758798719	0.0	1.15241892733e-05	0.000218959596193	0.0	0.0	0.0	0.0165602599857	0.00904648857953	0.0	0.0	0.00562380436537	0.0
43	0.0	0.0	0.0	0.0	0.00475752165283	0.316935224513	0.0	0.0	0.0	0.0	0.0	0.00120878755281	0.61482927262	0.0	0.0	0.0	0.0	0.0	0.000121987734688	0.0	0.0	9.98081465626e-05	0.0	0.0	0.0	0.0396460137736	0.0118217204707	0.0	0.0	0.0105796635356	0.0
