Timepoint	Acidobacteriales	unknown	Solibacterales	unknown1	Acidimicrobiales	Actinomycetales	Bifidobacteriales	Coriobacteriales	MC47	Solirubrobacterales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Streptophyta	Nostocales	Bacillales	Gemellales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Gemmatimonadales	Nitrospirales	Gemmatales	Planctomycetales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Rickettsiales	Sphingomonadales	unknown2	Burkholderiales	Hydrogenophilales	Methylophilales	Neisseriales	Rhodocyclales	unknown3	Bdellovibrionales	Desulfovibrionales	MIZ46	Myxococcales	Syntrophobacterales	Campylobacterales	Aeromonadales	Alteromonadales	Chromatiales	Enterobacteriales	Oceanospirillales	Pasteurellales	Pseudomonadales	unknown4	Vibrionales	Xanthomonadales	unknown5	Spirochaetales	Synergistales	Erysipelotrichales	RF39	EW055	Spartobacteriales	Verrucomicrobiales	unknown6
75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000699391691877	0.0	0.0	0.606535246088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000731921538011	0.0	0.383347971764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000650596922677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000341563384405	0.0	0.0	0.0	0.0	0.0	0.0	0.00117107446082	0.00330177938258	0.0	0.0	0.00322045476725	0.0
76	0.0	0.0	0.0	0.0	0.0	1.60596132845e-05	0.0	0.00142930558232	0.0	0.0	0.546556818911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014453651956	0.0	0.433866512494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000289073039121	0.0	0.000706622984519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60596132845e-05	0.0	0.0	1.60596132845e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00244106121924	0.00894520459947	0.0	0.0	0.00557268580973	0.0
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000647351385489	0.0	0.0	0.580705770901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000189468698192	0.0	0.408226099313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57890581827e-05	0.0	3.15781163654e-05	0.0	0.0	1.57890581827e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00119996842188	0.00786295097498	0.0	0.0	0.00110523407279	0.0
78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000788506360231	0.0	0.0	0.75505281833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63827270724e-05	0.0	0.237178074885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00157701272046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15956817681e-05	0.0	0.0	0.0	0.0	0.0	0.000800102042	0.00398891452823	0.0	0.0	0.000556592724869	0.0
89	0.0	0.0	0.0	0.0	0.0	1.12398700671e-05	0.0	0.00188829817127	0.0	0.0	0.592655868899	0.0	0.0	0.0	0.0	2.24797401342e-05	0.0	1.12398700671e-05	0.0	0.000224797401342	0.0	0.333779181513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000561993503355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000685632074093	0.0	0.0	1.12398700671e-05	0.0	0.0	7.86790904697e-05	0.0	0.0	0.0	0.00245029167463	0.0346525194168	0.0	0.0	0.0329665389068	0.0
92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022241762789	0.0	0.0	0.663476956498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000186210107071	0.0	0.31584337661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03450059484e-05	1.03450059484e-05	0.0	0.0	0.0	0.0	0.0	1.03450059484e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00197589613614	0.0048311177779	0.0	0.0	0.011431231573	0.0
93	0.0	0.0	0.0	0.0	0.0	5.80681554236e-05	0.0	0.00253011248631	0.0	0.0	0.568794173276	0.0	0.0	0.0	0.0	8.2954507748e-06	0.0	8.2954507748e-06	8.2954507748e-06	0.000282045326343	2.48863523244e-05	0.409662541062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101204499452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31818030992e-05	0.0	0.000265454424794	0.0	0.0	0.0	0.0	0.0	0.00058897700501	0.0	0.0	0.0	0.00320204399907	0.00764011016359	0.0	0.0	0.00588147459933	0.0
94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00757716106562	0.0	0.0	0.515728630183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85260661751e-05	0.000815146911704	0.0	0.443940123754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000555781985253	0.0	0.00109303790433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41042647004e-05	0.0	0.0	0.00113009003668	0.0	0.0	0.0	0.0	0.0	0.0	0.00500203786728	0.0107080662492	0.0	0.0	0.0133572937123	0.0
95	0.0	0.0015535187199	0.0	0.0	0.0	5.178395733e-05	0.0	0.00271865775982	0.0	0.0	0.68212417793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00111335508259	0.0	0.263761586661	0.0	0.0	0.0	0.0	0.0	0.0	0.000129459893325	0.0	0.0	0.0	0.0	0.0	0.0179172492362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.178395733e-05	0.00787116151417	0.0	0.0	0.0	0.0	0.0	0.0	0.00235617005852	0.0136968567138	0.0	0.0	0.00665423851691	0.0
96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00542988238594	0.0	0.0	0.487367007954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000440802260113	0.0	0.477408884169	0.0	0.0	0.0	0.0	0.0	0.0	0.000100182331844	0.0	0.0	0.0	0.0	0.0	0.00316576168627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00140255264582	0.0	0.0	0.00208379250235	0.0	0.0	0.0	0.0	0.0	0.0	0.00420765793745	0.00843535234126	0.0	0.0	0.00995812378529	0.0
