Timepoint	Corynebacteriaceae	Micrococcaceae	unknown911	Bifidobacteriaceae	Coriobacteriaceae	unknown7576	Bacteroidaceae	Porphyromonadaceae	Rikenellaceae	unknown2246	unknown2958	Flavobacteriaceae	Sphingobacteriaceae	unknown7558	unknown5503	unknown1455	unknown588	Bacillaceae	Staphylococcaceae	Aerococcaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Turicibacteraceae	Catabacteriaceae	Clostridiaceae	ClostridialesFamilyXIII.IncertaeSedis	ClostridialesFamilyXI.IncertaeSedis	Lachnospiraceae	Ruminococcaceae	unknown2010	unknown3038	unknown3427	unknown3464	unknown3979	unknown4490	unknown4830	Veillonellaceae	Fusobacteriaceae	Caulobacteraceae	Bradyrhizobiaceae	Phyllobacteriaceae	Rhizobiaceae	Rhodospirillaceae	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	unknown3491	unknown4277	unknown7161	unknown78	Neisseriaceae	Desulfovibrionaceae	unknown6463	unknown3424	Campylobacteraceae	Aeromonadaceae	Enterobacteriaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Xanthomonadaceae	Erysipelotrichaceae	unknown2221	unknown6436	Verrucomicrobiaceae	unknown1257
10	7.02010558238899e-06	1.40402111647379e-05	0	0.0861717960238218	0.000638829607997278	7.02010558238899e-06	0.245675614961635	0.00162866449511601	0.00223239357520194	0.00791867909693782	0.0540758733011664	0	0	0	0	0	0	0	0	0	2.10603167472071e-05	9.12613725709966e-05	7.02010558238899e-05	0.00779231719644656	1.40402111647379e-05	0	9.82814781534659e-05	3.51005279119449e-05	0	0.226145681231453	0.307901830842724	0.00435948556666784	0.000435246546108277	0	0	0	0	0	0.0159918005166671	0	0	0	0	0	0	0	0.000751151297315381	0	0	0	0	0	0	0	0	0.000723070874986106	0	0	1.40402111647379e-05	0	2.10603167471069e-05	0.000666910030327555	0	0	0	0.0364975289228136	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0.0448250786474379	0.000221319379673338	0	0.305618350538523	0.00759599728093245	0.0198871271163526	0.0144094724694102	0.0797619235815654	0	0	0.000861564728014029	0	0	0	0	0.000276649224591422	0	0	4.74255813585438e-05	0.000102755426276728	0.00111450116192113	2.3712790679322e-05	7.11383720378657e-05	0.00011856395339661	1.58085271194812e-05	0	0.178549409551554	0.28034841993744	0.00260050271116597	0.00108288410768336	0	0	0.00013437248051549	1.58085271194812e-05	0	0.0192547860315975	0	0.000853660464454589	0.000411021705106912	0	0.00111450116192113	0	0.000553298449183845	0.00352530154765052	0	0.00452914301974949	0	0	0.00341464185781836	2.3712790679322e-05	0	0	0.00516938836808417	0	0	0	0	0.000940607363611435	0.000197606588994016	0.00188911899078631	0	0.00199187441705903	0.0184485511485345	0	0	0	0
13	0	8.8792204044538e-06	0	0.0539057470754091	0.000590468156896247	0	0.174738617949122	0.0045949965593075	0.0126795267375202	0.00676152633798171	0.0355790361606033	0	0	0	0	0	0	0	4.4396102022269e-06	0	4.4396102022269e-06	1.33188306066506e-05	7.5473373437787e-05	0.00163821616462424	3.10772714155181e-05	3.5516881617735e-05	0.000958955803679646	8.8792204044538e-06	3.5516881617735e-05	0.345557060090085	0.297072077071999	0.0107704943505529	0.00122089280561466	0	0	0.000137627916268522	1.77584408088675e-05	0	0.0105351950098661	0	0	0.000350729205975334	8.87922040444377e-06	0	0	0	6.65941530333533e-05	0	0.000426202579413621	0	4.4396102022269e-06	0.000244178561121928	0	0	0	0.00167817265643237	0	0	0	0	8.43525938422208e-05	3.10772714155181e-05	1.33188306066506e-05	1.33188306066506e-05	0	0.0401029989566986	0	0	0	0
14	1.58262906340527e-05	0.000158262906340527	0	0.0153198493337622	0.000197828632924656	0	0.283274776058233	0.00477162662615845	0.00136897413984114	0.00974108188523255	0.0417418415472437	7.91314531700628e-06	0	0	0	0	0	7.91314531700628e-06	6.33051625361104e-05	0	0	7.91314531700628e-06	0.000221568068876337	0.000783401386382401	0	7.91314531700628e-06	0.000379830975216862	0	3.16525812680051e-05	0.327382648055009	0.233524831449551	0.00666286835691853	0.000878359130187116	0	0	0.000538093881556387	7.12183078530365e-05	0	0.0258443326052829	0.000261133795461468	0	0	0	0	0	9.49577438041155e-05	0.00661538948502319	0.000245307504827015	0.000807140822335082	0	0	0.000253220650144241	1.58262906340527e-05	0	0	0.0011157534896959	0	0	2.3739435951079e-05	0	5.53920172190841e-05	0.00673408666476656	0.000387744120533088	0	0	0.0303864780173289	0	0	0	0
15	2.20536344389936e-05	5.51340860973837e-06	0	0.065366972477003	0.000220536344389936	0	0.183800502822834	0.00183045165842725	0.00162094213125961	0.0042508380381084	0.0384284580099142	0.00030875088214631	0	0	0	0	1.10268172194968e-05	0	0.000121294989414264	0	2.20536344389936e-05	2.7567043048742e-05	0.000264643613267121	0.0100178634438976	7.16743119266289e-05	1.65402258292452e-05	0.00196277346506682	1.10268172194968e-05	0.000170915666901599	0.282755160550449	0.253523068101615	0.00580010585744408	0.000959333098094816	0	0	0.00205650141143736	0.000242589978828528	0	0.0311893525053073	5.51340860973837e-05	0	0.000231563161609232	0	0	0	5.51340860973837e-06	0.00231011820747817	0.000308750882145309	0.000683662667607398	0	0	0.00027567043048742	5.51340860973837e-06	0	5.51340860973837e-06	0.000623015172900766	0	0	0.000248103387437676	5.51340860973837e-06	3.85938602682387e-05	0.0839195924488624	0.000248103387438677	0	0	0.0259571277346906	0	0	0	0
16	0.000231951875028919	0	0	0.0563189237432387	0.000554667527242108	0	0.27121729352489	0.00465416479676506	0.0162063766595908	0.0121220066862786	0.0714512623728029	0	0	0	0	0	0	0	0	0	1.00848641316747e-05	3.52970244608614e-05	8.06789130532974e-05	0.00211277903558745	5.04243206583735e-06	3.02545923950241e-05	0.000216824578830204	0	0.00020673971469873	0.245304235139042	0.249832339133751	0.00909654744676617	0.00111941991861669	0	0	5.04243206583735e-05	5.04243206583735e-06	0	0.0252474573536524	5.04243206583735e-06	0	0	0	0	0	0	0.00714008380521807	4.03394565266988e-05	0.000731152649545414	0	0	0.000635346440294904	0	0	0	0.00295990762264332	0	0	2.01697282633494e-05	0	0.000292461059817764	0.00110429262241999	1.51272961975121e-05	0	0	0.0209462628013937	0	0	0	0
17	0.00175182676231747	0	0	0.0700664095544493	0.00055951881382003	0	0.225998974215183	0.00815298842994901	0.00163859081190152	0.00634121322329368	0.0434159955771505	1.33218765195245e-05	0	0	0	0	6.66093825976227e-06	6.66093825976227e-06	0	0	4.66265678183358e-05	7.32703208573849e-05	0.000526214122521219	0.00936527919322574	6.66093825976227e-06	6.66093825976227e-06	0.000699398517275038	3.33046912988113e-05	3.33046912988113e-05	0.302313343857711	0.228270354162354	0.00768672275176565	0.0012522563928353	0	0	0.000466265678183358	3.99656295585736e-05	0	0.00973163079751267	6.66093825976227e-06	0	0	6.66093825976227e-06	0	0	0	0.0050489912008998	0	0.00308401441426992	0.000333046912988113	0	0.000339707851247876	0	0	0	0.00210485649008488	0	0	2.66437530390491e-05	0	0.0100713386487405	0.000639450072937177	7.99312591171472e-05	0	0.000266437530390491	0.0594888395979268	0	0	0	0
18	6.35529936637407e-06	0	0	0.0996383834659985	0.000241501375922375	0	0.211370901626322	0.00204005109660429	0.00168415433209143	0.00604388969742657	0.0344139460689309	0	0	0	0	0	0	0	0	0	1.27105987327882e-05	7.62635923965288e-05	9.5329490495611e-05	0.00118844098151029	0	6.35529936637407e-06	0.000355896764516867	1.27105987327882e-05	7.62635923965288e-05	0.322944537302242	0.276347482348355	0.0136066959434475	0.000896097210658362	0	0	0.000222435477822792	2.54211974654762e-05	0	0.00790599241176942	0	0.000298699070219121	0.000438515656280392	0	0	0	0	0.00199556400104895	0	0.000915163108757945	0	0	0	0	0	0	0.000495713350577137	0	0	1.27105987327882e-05	0	0.000603753439806437	0.000527489847409107	0.00068637233156896	0	0.000432160356913196	0.0143820424661152	0	0	0	0
19	0	0	0	0.120277051968133	4.14748455062212e-05	0	0.0631247148604036	0.00024884907303692	0.000124424536518969	0.000497698146073839	0.00431338393264536	0	0	0	0	0	0	0	0.00178341835676782	0	0	0.000124424536518969	0.000124424536518969	0.00149309443821948	0.000207374227530596	0	0.000207374227531615	0	0	0.466052838952936	0.214010202812138	0.00974658869394516	0.00145161959271112	0	0	0.000124424536518969	4.14748455062212e-05	0	0.00837791879225077	0	0	0.0114470573597166	0	0	0.00792169549167917	0	0.000207374227530596	0	0.0130231014888917	0	0.00817054456471916	0.00505993115175511	4.14748455062212e-05	0	0	8.29496910124423e-05	0.00136866990170458	0	8.29496910123405e-05	0	4.14748455062212e-05	0.00136866990170458	0.0284932188627563	0.0146820953092262	0.00340093733151237	0.0122350794243551	0	0	0	0
