Timepoint	Corynebacteriaceae	Micrococcaceae	unknown911	Bifidobacteriaceae	Coriobacteriaceae	unknown7576	Bacteroidaceae	Porphyromonadaceae	Rikenellaceae	unknown2246	unknown2958	Flavobacteriaceae	Sphingobacteriaceae	unknown7558	unknown5503	unknown1455	unknown588	Bacillaceae	Staphylococcaceae	Aerococcaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Turicibacteraceae	Catabacteriaceae	Clostridiaceae	ClostridialesFamilyXIII.IncertaeSedis	ClostridialesFamilyXI.IncertaeSedis	Lachnospiraceae	Ruminococcaceae	unknown2010	unknown3038	unknown3427	unknown3464	unknown3979	unknown4490	unknown4830	Veillonellaceae	Fusobacteriaceae	Caulobacteraceae	Bradyrhizobiaceae	Phyllobacteriaceae	Rhizobiaceae	Rhodospirillaceae	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	unknown3491	unknown4277	unknown7161	unknown78	Neisseriaceae	Desulfovibrionaceae	unknown6463	unknown3424	Campylobacteraceae	Aeromonadaceae	Enterobacteriaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Xanthomonadaceae	Erysipelotrichaceae	unknown2221	unknown6436	Verrucomicrobiaceae	unknown1257
18	0	0	0	9.63799683873158e-06	0.000106017965226058	0.00474189444465364	0.359082848220843	0	0.0267358032305955	0.00246732719071826	0.0213770769883352	0	0	0	0	0	0	0	0	0	0	9.63799683873158e-06	2.89139905162249e-05	0.000327691892516814	1.92759936774833e-05	0.000366243879872383	0.000665021781872268	0.000655383785033627	2.89139905162249e-05	0.301177763213917	0.259734376806956	0.00224565326342147	0.00059755580400178	0.000761401750259684	0	9.63799683873158e-06	9.63799683873158e-06	0.000115655962064698	0.00893442306950274	0	0	8.67419715486746e-05	0	0	0	0	9.63799683873158e-06	0	9.63799683873158e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.81899841937081e-05	1.92759936774833e-05	9.63799683873158e-06	0	0.00361424881452057	0.00164809745942371	0.00335402289987525	0.000905971702841311	0
20	0	0	0	0	0.000248870931142908	0.0122385940256476	0.293082120087031	0	0.0332755074404486	0.00269366184295699	0.0356397812864037	0	0	0	0	0	0	0	0	0	7.31973326891733e-06	7.31973326891733e-06	3.65986663445867e-05	0.00136879012128901	1.46394665377945e-05	0.000417224796328348	0.000314748530563385	0.00136147038802052	2.92789330756895e-05	0.262061090494164	0.306169803172589	0.00283273677506845	0.00148590585359499	0.00197632798260426	0	7.31973326891733e-06	0	0.00044650372940434	0.0178967478425261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125240636231089	0.00741488980141782	0.00447967676058039	0.00196900824934582	0
21	0	0	0	6.16370808678094e-06	1.84911242603026e-05	0.00267504930966382	0.512586291913487	0	0.0345106015779203	0.00506040433924788	0.0527366863904836	0	0	0	0	0	0	0	0	0	0	0	1.84911242603026e-05	0.000295857988165846	2.46548323471037e-05	0.000283530571992647	0.000147928994082421	0.000875246548324341	6.16370808678094e-06	0.189349112425499	0.173736439842563	0.00152243589743995	0.0006286982248523	0.00118343195265937	0	0	0	0.000308185404339047	0.0143799309664203	6.16370808678094e-06	0	0	0	0	0	0	0	0	3.08185404339047e-05	0	0	0	0	0	0	0	0	0	6.16370808678094e-06	0	1.23274161736021e-05	6.16370808678094e-06	0	0	0.000579388560157489	0.00340853057199082	0.00348249506903203	0.00145463510848384	0.000659516765285802	0
22	6.68033909401641e-06	0	0	1.33606781879925e-05	4.00820345641791e-05	0.0050904183896445	0.416078240131223	0	0.0917744984735532	0.00607910857555272	0.0448117146426607	6.68033909401641e-06	0	0	0	0	0	0	0	0	0	0	9.352474731625e-05	0.000327336615606219	6.01230518461679e-05	0.000868444082222537	0.000173688816444507	0.00207090511914488	4.67623736580746e-05	0.125637137341056	0.234499943217296	0.000988690185914268	0.000821681708564361	0.000681394587589835	0	0	0	0.00136278917518168	0.0466220865371424	0	0	0	0	0	0	0	0	6.68033909401641e-06	0.000587869840273485	2.67213563760858e-05	0	0.000260533224666257	0	0	0	6.68033909401641e-06	0	0	0	0	2.00410172819887e-05	6.68033909401641e-06	0.000487664753863541	0	6.68033909401641e-06	0.00566492755172576	0.0106083784813072	0.002565250212099	0.00159660104347256	0
23	2.82485875706187e-05	0	0	0	0.000451977401129698	0.0173163841808159	0.250706214689342	5.64971751412374e-05	0.0643785310734513	0.00327683615818653	0.030621468926566	2.82485875706187e-05	0	0	0	0	2.82485875706187e-05	0	0	0	2.82485875706187e-05	2.82485875706187e-05	0.000197740112993928	0.00313559322033948	0.00033898305084702	0.00110169491525332	0.000903954802258386	0.00271186440677819	0.000508474576270532	0.293389830508346	0.281355932203451	5.64971751412374e-05	0.00214689265536985	0.000677966101694042	0	0	0	0.00709039548021802	0.0212994350282376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82485875706187e-05	0	0	0	0	0.000197740112993928	0.000395480225987854	5.64971751412374e-05	0	0	0.013107344632746	0.00209039548022296	0.000706214689265468	0.00155367231638807	0
24	3.47258394971557e-05	0	0	0	3.47258394971557e-05	0.0039240198631793	0.40521582109233	0	0.0222939889571578	0.00399347154218144	0.0641386255513804	0	0	0	0	0	0	0	0	0	0.00114595270340483	3.47258394971557e-05	0	0.000625065110949004	3.47258394971557e-05	0.000208355036983335	0.000486161752960782	0.000729242629441173	0	0.232489495433618	0.209605167204812	0.00357676146820874	0.00114595270340483	0.0022919054068197	0	0	0	0.00114595270340483	0.0308365454735578	0	0	0.00135430774039118	0.00017362919748628	0	0	0	0	0	0.00149321109838542	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000520887592457837	0	0	0.0107302844046362	0.000138903357989225	0.000659790950447063	0.000937597666424508	0
25	0.00121925729812234	0	0	0	0.000174179614018348	0.00205531944541407	0.390197171323432	0	0.0232703964327244	0.00442416219605872	0.0624608095869036	0	0	0	0	0	0	0	0	0	0.00031352330523262	0	0	0.000836062147287665	0	0.000278687382429561	0.000418031073643832	0.000870898070090724	0	0.228001114749141	0.244164982930419	0.00222949905943445	0.00107991360691213	0.0016024524489631	0	0	0	0.000870898070090724	0.0129589632829456	0	0	0.00202048352261406	0	0	0	0.00132376506653253	0	0.000801226224483589	0.00400613112241794	0	0	0.00317006897512621	0	0	0	0	0	0	0	0	0	0	0.00118442137532232	0.00125409322092234	0.00031352330523262	0.00539956803456066	0.000452866996446892	0.000209015536821407	0.00243851459625484	0
26	0	0	0	0	0	0	0.00228832951945101	0	0	0	0	0	0	0	0	0	0	0	0	0.0205949656750891	0	0.0137299771167261	0	0.0366132723112362	0	0	0	0	0	0.00228832951945101	0.00228832951945101	0	0	0	0	0	0	0	0	0	0	0.0869565217390982	0	0	0	0.155606407322227	0	0	0.421052631579266	0	0	0	0	0	0	0	0	0	0	0	0.0823798627002564	0.00228832951945101	0.0869565217391984	0.0297482837528731	0.0572082379862251	0	0	0	0	0
27	0	0	0	0	7.56315232187648e-05	0.000226894569655993	0.556597589875187	0	0.0825139918317165	0.00554631170271544	0.0345636061109608	0	0	0	0	0	0	0	0	0	0	0	0.000100842030958553	5.04210154791765e-05	0	0.000277315585135773	0.000100842030958553	0.000882367770886091	2.52105077395883e-05	0.151187414914729	0.109867392729687	0.00153784097211719	5.04210154791765e-05	0.000504210154791765	0	0	0	0.000277315585135773	0.0436898099126281	0	0	0.000100842030958553	0	0	0	0	0	0	0.000554631170271544	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000277315585134769	0.000100842030958553	2.52105077395883e-05	0.000352947108354436	0.00478999647051876	0.00121010437149663	0.004512680885386	0
28	0	0	0	0	0	0	0.00136736554238712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000455788514129373	0	0	0.000455788514129373	0	0	0	0	0	0	0	0	0	0.0902461257976098	0	0	0	0	0	0	0	0.435278030993666	0	0	0.263445761167213	0.00136736554238712	0	0	0	0	0	0	0	0	0	0.207383773928478	0	0	0	0	0	0	0
