Timepoint	Acidobacteriales	Actinomycetales	Bifidobacteriales	Coriobacteriales	Bacteroidales	Flavobacteriales	Sphingobacteriales	mle1-12	YS2	Stramenopiles	Streptophyta	Bacillales	Lactobacillales	Turicibacterales	Clostridiales	Fusobacteriales	Caulobacterales	Rhizobiales	Rhodobacterales	Rhodospirillales	Sphingomonadales	Burkholderiales	Neisseriales	Rhodocyclales	Desulfovibrionales	MIZ46	Myxococcales	Campylobacterales	Aeromonadales	Enterobacteriales	Pasteurellales	Pseudomonadales	Xanthomonadales	Erysipelotrichales	RF39	Verrucomicrobiales
213	0	0.000112714156898019	0.0579189746232098	0.000837305165529142	0.266182532526045	0	0	0	0	0	0	0.000740693031045126	0.00674674739147115	1.61020224140027e-05	0.638380780626108	0	0	0	0	0	0	0.00655352312250111	0	0	0.00157799819657027	0	0	3.22040448280055e-05	0	0.000193224268968033	0.000273734381038047	0.00146528403967025	0	0.0189681824037032	0	0
214	0	0.000129992525429355	0.0924896818432659	0.000568717298755805	0.306798609080217	0	0	0	0	0	0	0	0.00818952910207839	1.62490656786944e-05	0.575671898865541	0	0	0	0	0	0	0.0002924831822173	3.24981313573889e-05	0	0.000211237853823328	0	0	1.62490656786944e-05	0	1.62490656786944e-05	0.000471222904683038	8.12453283935722e-05	0	0.0150141366872021	0	0
215	0	0.000544466712231112	0.0654634338473028	0.00159864694229777	0.35319671466464	2.31687962651069e-05	1.15843981325534e-05	0	0	0	0.000254856758916776	0	0.00165656893296204	8.1090786928174e-05	0.555680409624378	0	0.00161023134042863	0	0	0	0.000822492267414594	0.00178399731242143	1.15843981325534e-05	3.47531943977603e-05	0.00033594754584575	0	0	0	1.15843981325534e-05	0.000532882314099258	0.000799323471149887	0.000451791527171284	0	0.015094470766752	0	0
216	0	0	0	0	0.027027027027027	0	0	0	0	0	0	0	0	0	0.432432432432432	0.027027027027027	0	0.108108108108108	0	0	0	0.351351351351351	0	0	0	0	0	0	0	0	0	0.027027027027027	0	0.027027027027027	0	0
217	0	0.000219812426729256	0.124816822977443	0.00170354630715999	0.0898300117234754	1.83177022274547e-05	1.83177022274547e-05	0	0	0	0	0	0.00712558616647897	3.66354044549094e-05	0.730509964830065	0	0	0	1.83177022274547e-05	0	0	0.00027476553341132	0	0	0	0	0	0	0	0.000714390386870833	0.0213767584994669	9.15885111372734e-05	5.4953106682364e-05	0.023190211019943	0	0
218	0	0.000326254136436127	0.177730824801835	0.00233038668882948	0.127829477837554	3.10718225177263e-05	0	0	0	0	0	1.55359112588632e-05	0.00287414358289469	4.66077337765895e-05	0.638168626781	0	0	7.76795562943159e-05	0	0	0	0.000590364627836801	0	0	9.3215467553179e-05	0	0	0	0	9.3215467553179e-05	0	1.55359112588632e-05	0	0.0497770596734016	0	0
219	0	0.000321943981747197	0.136056326199224	0.00405929368290335	0.146442519001274	0	0	0	0	0	0	0	0.00195965901932989	4.19926932713691e-05	0.686566537422947	0	0	0.000139975644237564	0	0	0	0.0015397320866192	0	0	0.00130177349141214	0	0	0	0	0.000125978079813207	0	0.000293948852899484	0.000335941546170553	0.0208143782981509	0	0
220	0	0.000217285931572093	0.082234367948621	0.0027411455982907	0.144077286934609	0	0	0	0	0	0	1.67143024285994e-05	0.0026910026910016	5.01429072856982e-05	0.72170686456391	0	0	0.000885858028715068	0	0	0.000718715004429074	0.0027411455982907	0	1.67143024285994e-05	0.00115328686756926	0	0	0	0	0.000133714419428595	0.000217285931572093	0	0.000534857677714381	0.039863611292133	0	0
221	0	0.000258061741270708	0.110762249867854	0.00218277222825737	0.140095267793211	0	0	0	0	0	3.22577176589635e-05	1.07525725529545e-05	0.00505370909990262	0.000161288588295318	0.712304168772426	0	0	0.000494618337438108	0	0	0	0.000731174933602507	2.1505145106009e-05	0	0.000225804023613245	0	0	0	0	9.67731529767906e-05	0.00235481338911184	0.000268814313824863	0	0.0249459683228985	0	0
222	0	0.000773783204652625	0.165385531104204	0.00574810380598921	0.0903540695895097	0	0	0	0	0	0	1.70062242781071e-05	0.00567157579674048	0.00035713070983975	0.673608040542995	0	0	0	0	0	0	7.65280092513321e-05	0	0	6.80248971123286e-05	0	0	0	0	0.00035713070983975	0.000476174279786	3.40124485562143e-05	0	0.0570728886772456	0	0
